id,_total_events_param,_false_alarm_pct_param,_malicious_count_param,_benign_count_param,_false_alarm_count_param,timestamp,src_host,dst_host,src_ip,dst_ip,src_subnet,dst_subnet,proto,sport,dport,service,duration,bytes,packets,sttl,dttl,state,sloss,dloss,ct_src_dport_ltm,ct_dst_src_ltm,attack_cat,label,_unsw_row_id,scenario_name,_source,phase
1,30,0.15,11,15,4,7.50322656680008,User2,external_12,10.0.1.12,203.0.199.94,Subnet 1 (User),External,tcp,39687,22,ssh_admin,10.0,200,10,31,29,FIN,26,31,1,1,Normal,Benign,28940,WannaCry,UNSW_benign,
2,30,0.15,11,15,4,26.081649788824844,User2,external_32,10.0.1.12,203.0.43.160,Subnet 1 (User),External,tcp,18291,21,ftp,5.0,100000,50,31,29,FIN,7,18,1,1,Normal,Benign,32293,WannaCry,UNSW_benign,
3,30,0.15,11,15,4,66.96322144464682,User0,external_99,10.0.1.10,203.0.244.39,Subnet 1 (User),External,tcp,47680,25,smtp,1.0,1000,5,31,29,CON,0,0,2,9,Normal,Benign,36155,WannaCry,UNSW_benign,
4,30,0.15,11,15,4,82.50879551073578,Enterprise2,external_49,10.0.2.12,203.0.40.195,Subnet 2 (Enterprise),External,tcp,42728,25,smtp,1.0,1000,5,31,29,FIN,26,31,1,2,Normal,Benign,28188,WannaCry,UNSW_benign,
5,30,0.15,11,15,4,191.82803953736513,Enterprise2,User0,10.0.2.12,10.0.1.10,Subnet 2 (Enterprise),Subnet 1 (User),tcp,30579,25,smtp,1.0,1000,5,31,29,FIN,7,24,1,1,Normal,Benign,27020,WannaCry,UNSW_benign,
6,30,0.15,11,15,4,203.00984622687338,User1,User2,10.0.1.11,10.0.1.12,Subnet 1 (User),Subnet 1 (User),tcp,61904,3389,rdp,30.0,5000,50,31,29,CON,0,0,1,1,Normal,Benign,35725,WannaCry,UNSW_benign,
7,30,0.15,11,15,4,220.94136424920373,Enterprise2,Enterprise0,10.0.2.12,10.0.2.10,Subnet 2 (Enterprise),Subnet 2 (Enterprise),tcp,50621,80,http,1.161361,500,5,31,29,FIN,3,5,1,3,Normal,Benign,21287,WannaCry,UNSW_benign,
8,30,0.15,11,15,4,267.6538703114536,Enterprise0,external_73,10.0.2.10,203.0.123.48,Subnet 2 (Enterprise),External,tcp,45526,80,http,1.661489,500,5,254,252,FIN,4,4,1,1,Normal,Benign,82937,WannaCry,UNSW_benign,
9,30,0.15,11,15,4,303.16441364763955,User1,external_external_250,10.0.1.11,external_250,Subnet 1 (User),External,udp,31006,5000,-,3e-06,1064,2,254,0,INT,0,0,2,2,Normal,Malicious,44960,WannaCry,UNSW_actual,initial_access
10,30,0.15,11,15,4,375.2234791457855,User1,external_User1,10.0.1.11,User1,Subnet 1 (User),External,udp,24412,5000,-,8e-06,104,2,254,0,INT,0,0,1,2,Fuzzers,Malicious,70041,WannaCry,UNSW_actual,initial_access
11,30,0.15,11,15,4,451.639784811027,User1,external_OpHost0,10.0.1.11,OpHost0,Subnet 1 (User),External,tcp,33531,80,http,2.306272,1320,18,254,252,FIN,2,1,1,1,Exploits,Malicious,102530,WannaCry,UNSW_actual,progression
12,30,0.15,11,15,4,528.7901646607752,User1,external_OpHost0,10.0.1.11,OpHost0,Subnet 1 (User),External,unas,30469,5000,-,1e-05,200,2,254,0,INT,0,0,4,14,Reconnaissance,Malicious,93001,WannaCry,UNSW_actual,progression
13,30,0.15,11,15,4,600.199019772629,User1,external_external_254,10.0.1.11,external_254,Subnet 1 (User),External,udp,54670,5000,-,0.037399,880,8,31,29,CON,0,0,1,4,Normal,Malicious,4361,WannaCry,UNSW_actual,progression
14,30,0.15,11,15,4,609.2745843380148,Enterprise2,external_55,10.0.2.12,203.0.77.220,Subnet 2 (Enterprise),External,tcp,3106,16717,smtp,1.1970249000000002,200,10,64,64,CON,0,0,1,1,Normal,False Alarm,-1,unknown,synthetic_false_alarm_type1,
15,30,0.15,11,15,4,676.4912823801499,User1,external_OpServer0,10.0.1.11,OpServer0,Subnet 1 (User),External,tcp,27791,25,smtp,4.980751,543120,506,62,252,FIN,209,8,1,1,Exploits,Malicious,98345,WannaCry,UNSW_actual,progression
16,30,0.15,11,15,4,754.8741332833464,User1,external_User2,10.0.1.11,User2,Subnet 1 (User),External,udp,11557,53,dns,9e-06,114,2,254,0,INT,0,0,16,31,Generic,Malicious,119134,WannaCry,UNSW_actual,progression
17,30,0.15,11,15,4,829.0870611045241,User1,external_external_47,10.0.1.11,external_47,Subnet 1 (User),External,udp,35865,53,dns,0.001084,324,4,31,29,CON,0,0,3,1,Normal,Malicious,8719,WannaCry,UNSW_actual,progression
18,30,0.15,11,15,4,902.204406220407,external_User1,OpServer0,User1,10.0.3.20,External,Subnet 3 (Operational),udp,26858,53,dns,9e-06,114,2,254,0,INT,0,0,14,29,Generic,Malicious,125252,WannaCry,UNSW_actual,objective
19,30,0.15,11,15,4,1005.8926568387591,external_User4,OpServer0,User4,10.0.3.20,External,Subnet 3 (Operational),udp,43896,53,dns,0.001062,324,4,31,29,CON,0,0,2,3,Normal,Malicious,15870,WannaCry,UNSW_actual,objective
20,30,0.15,11,15,4,1108.0943045667782,external_external_8,OpServer0,external_8,10.0.3.20,External,Subnet 3 (Operational),udp,57741,5000,-,2e-06,1338,2,254,0,INT,0,0,1,1,Generic,Malicious,125201,WannaCry,UNSW_actual,objective
21,30,0.15,11,15,4,1203.8992558068367,Enterprise0,external_66,10.0.2.10,203.0.38.63,Subnet 2 (Enterprise),External,tcp,13610,25,smtp,1.0,1000,5,254,252,FIN,2,1,2,4,Normal,Benign,42874,WannaCry,UNSW_benign,
22,30,0.15,11,15,4,1209.6716376833465,Enterprise0,external_65,10.0.2.10,203.0.229.252,Subnet 2 (Enterprise),External,tcp,40477,16140,dns,1.140774,200,10,64,64,CON,0,0,1,1,Normal,False Alarm,-1,unknown,synthetic_false_alarm_type1,
23,30,0.15,11,15,4,1293.2876998870688,Enterprise0,external_47,10.0.2.10,203.0.194.1,Subnet 2 (Enterprise),External,tcp,42164,25,smtp,1.0,1000,5,31,29,FIN,7,7,1,5,Normal,Benign,31394,WannaCry,UNSW_benign,
24,30,0.15,11,15,4,1401.9567270675761,Enterprise0,external_92,10.0.2.10,203.0.166.10,Subnet 2 (Enterprise),External,tcp,30968,25,smtp,1.0,1000,5,31,29,FIN,1,2,1,8,Normal,Benign,11436,WannaCry,UNSW_benign,
25,30,0.15,11,15,4,1404.1503099107952,User2,external_20,10.0.1.12,203.0.109.52,Subnet 1 (User),External,tcp,58571,3389,rdp,30.0,5000,50,31,29,FIN,2,370,1,1,Normal,Benign,8204,WannaCry,UNSW_benign,
26,30,0.15,11,15,4,1460.3726031366891,User1,external_90,10.0.1.11,203.0.210.98,Subnet 1 (User),External,tcp,19234,25,smtp,1.0,175319,350,64,64,CON,0,0,1,1,Normal,False Alarm,-1,unknown,synthetic_false_alarm_type2,
27,30,0.15,11,15,4,1484.749436634746,User4,external_54,10.0.1.14,203.0.174.9,Subnet 1 (User),External,tcp,39642,53,dns,1.0,142779,285,64,64,CON,0,0,1,1,Normal,False Alarm,-1,unknown,synthetic_false_alarm_type2,
28,30,0.15,11,15,4,1618.883636992936,Enterprise2,Enterprise0,10.0.2.12,10.0.2.10,Subnet 2 (Enterprise),Subnet 2 (Enterprise),tcp,10198,22,ssh_admin,10.0,200,10,31,29,FIN,7,7,1,2,Normal,Benign,7109,WannaCry,UNSW_benign,
29,30,0.15,11,15,4,1683.4915510996848,Enterprise2,external_50,10.0.2.12,203.0.6.206,Subnet 2 (Enterprise),External,tcp,13003,80,http,0.5,500,5,31,29,FIN,1,2,1,4,Normal,Benign,14666,WannaCry,UNSW_benign,
30,30,0.15,11,15,4,1774.3278433240687,User0,User1,10.0.1.10,10.0.1.11,Subnet 1 (User),Subnet 1 (User),udp,65235,53,dns,2.0,50,1,254,252,FIN,3,2,1,1,Normal,Benign,44075,WannaCry,UNSW_benign,
